product_code,brand_name,generic_name,brand_description,department,dosage_form,unit,category,raw_cost,company,full_pack_quantity,unit_quantity
,ANAFRANIL,,ANAFRANIL TABS 25MG X 50,Pharmacy,TABLETS,BLISTER,,3500,,50,25
,ANAFRANIL,,ANAFRANIL TABS 25MG X 60,Pharmacy,TABLETS,BLISTER,,5500,,60,20
6013111.00,ANALGIN,Paracetamol,ANALGIN INJ  X 100,Pharmacy,INJECTION (POWDER),AMPOULES,Non-opioid analgesics and antipyretics,10000,,100,1
,anastrozole,,ANASTROZOLE (TEVA)  TABS 1MG X 28,Pharmacy,TABLETS,BLISTER,,3200,,28,14
6011662.00,ANDREWS LIVER REGULAR,Magnesium Sulfate,ANDREWS LIVER REGULAR   X 25,Pharmacy,,SACHET,LAXATIVES,2040,,25,1
6161110000000.00,ANDREWS LIVER SALTS,Magnesium Sulfate,ANDREWS LIVER SALTS POWDER  X 50,Pharmacy,POWDER,SACHET,LAXATIVES,2680,WWCVL (GSK-CX),50,1
,ANGITEL,Telmisartan,ANGITEL TABS 40MG X 30,Pharmacy,TABLETS,BLISTER,,2100,ZIFAM PINNACLE NIG.LTD,30,10
,angitel,Telmisartan,ANGITEL TABS 80MG X 30,Pharmacy,TABLETS,BLISTER,,2600,ZIFAM PINNACLE NIG.LTD,30,10
1008892.00,ANGIZAGR H,Losartan and Hydrochlorothiazide,ANGIZAGR H TABS  X 30,Pharmacy,TABLETS,BLISTER,Angiotensin Receptor Blocker,2360,MICRO NOVA PHARM.IND LIMITED,30,10
6010605.00,ANGIZAR,Losartan and Hydrochlorothiazide,ANGIZAR TABS 50MG X 30,Pharmacy,TABLETS,BLISTER,Angiotensin Receptor Blocker,1850,,30,10
39442030542.00,animal pump,,ANIMAL PUMP   X 30,Pharmacy,,SACHET,,20000,,30,1
uano01,ANOROL,Paracetamol,ANOROL TABS  X 100,Pharmacy,TABLETS,BLISTER,Non-opioid analgesics and antipyretics,3000,HOVID,100,10
6011557.00,ANTALGEX-T,Tramadol and Acetaminophen,ANTALGEX-T CAPS  X 20,Pharmacy,CAPSULES,BLISTER,OPIOID ANALGESICS ,1650,,20,10
6008960.00,ANTI T.B KIT,,ANTI T.B KIT TABS  X 168,Pharmacy,TABLETS,SACHET,,6800,,168,28
,ANUDOL,,ANUDOL SUPP  X 12,Pharmacy,SUPPOSITORY,FOIL STRIP,,1600,DAILY-NEED INDUSTRIES LTD.,12,6
5010120000000.00,ANUSOL HC,Hydrocortisone,ANUSOL HC SUPP  X 12,Pharmacy,SUPPOSITORY,SACHET,ANTIHAEMORRHOIDAL DRUGS,2415,,12,6
6011095.00,ANUSOL,,ANUSOL SUPP  X 12,Pharmacy,SUPPOSITORY,SACHET,ANTIHAEMORRHOIDAL DRUGS,2600,,12,6
5010120000000.00,ANUSOL,,ANUSOL SUPP  X 24 [BLISTER],Pharmacy,SUPPOSITORY,BLISTER,ANTIHAEMORRHOIDAL DRUGS,5400,,24,6
6012587.00,APHAZOLE,Metronidazole,APHAZOLE TABS 400MG X 20,Pharmacy,TABLETS,PACK,"Antiamoebic, antiglardial and antitrichomonal drugs",700,,20,1
4465.00,apresoline ASSENE,Hydralazine,APRESOLINE ASSENE INJ 1ML X 100,Pharmacy,INJECTION (POWDER),AMPOULES,VASODILATORS,9335,,100,1
1008782.00,aprovasc,,APROVASC TABS 150/10MG X 28,Pharmacy,TABLETS,BLISTER,,5685,WWCVL (SANOFI),28,7
6009862.00,aprovasc,,APROVASC TABS 150MG/5MG X 28,Pharmacy,TABLETS,SACHET,,6479,,28,7
6009863.00,aprovasc,,APROVASC TABS 300/10MG X 28,Pharmacy,TABLETS,SACHET,,7450,,28,7
1008783.00,aprovasc,,APROVASC TABS 300/5MG X 28,Pharmacy,TABLETS,SACHET,,6800,,28,7
3582910000000.00,APROVEL,Irbesartan,APROVEL TABS 150MG X 28,Pharmacy,TABLETS,BLISTER,Angiotensin Receptor Blocker,4528.22,,28,14
1007774.00,APROVEL,Irbesartan,APROVEL TABS 300MG X 28,Pharmacy,TABLETS,BLISTER,Angiotensin Receptor Blocker,5870,WWCVL (SANOFI),28,14
6012750.00,AQUACLAV,Amoxicillin and Clavulanate,AQUACLAV TABS 1G X 14,Pharmacy,TABLETS,BLISTER,Penicillins,1150,,14,7
,AQUACLAV,,AQUACLAV TABS 375MG X 14,Pharmacy,TABLETS,BLISTER,,920,,14,7
8047.00,AQUASULF,Sulfur,AQUASULF OINTMENT 30MG X 12,Pharmacy,SKIN OINTMENT,TUBE,Prepations for acne,4975,,12,1
,arbitel,,ARBITEL TABS 40H X 30,Pharmacy,TABLETS,BLISTER,,2890,MICRO NOVA PHARM.IND LIMITED,30,10
,ARBITEL,,ARBITEL TABS 80H X 30,Pharmacy,TABLETS,BLISTER,,3540,MICRO NOVA PHARM.IND LIMITED,30,10
6010640.00,ARBITEL,Telmisartan,ARBITEL TABS 80MG X 30,Pharmacy,TABLETS,BLISTER,Angiotensin Receptor Blocker,3430,,30,10
8902500000000.00,ARCOGIN,,ARCOGIN CAPS  X 30,Pharmacy,CAPSULES,BLISTER,Multivitamin and amino acid preparations,1045,STRIDES VITAL NIG LTD,30,15
6012753.00,ARIMIDEX,Anastrozole,ARIMIDEX TABS 1MG X 28,Pharmacy,TABLETS,BLISTER,Sex hormones and antagonists used in malignant diseases,31020,,28,14
,ARIPIPRAZOLE (MILPHARM),Aripiprazole,ARIPIPRAZOLE (MILPHARM) TABS 10MG X 28,Pharmacy,TABLETS,BLISTER,,1950,ONYI-JEK GLOBAL RESOURCES,28,14
6012622.00,ARISTOCAL D,,ARISTOCAL D TABS 500MG/200IU X 50,Pharmacy,TABLETS,BLISTER,,650,,50,10
