product_code,brand_name,generic_name,brand_description,department,dosage_form,unit,category,raw_cost,company,full_pack_quantity,unit_quantity
6012990,LYRICA,,LYRICA (PARALLELL)  TABS 75MG X 28,Pharmacy,TABLETS,BLISTER,,2350,,28,14
1002036,LYRICA,,LYRICA CAPS 75MG X 28,Pharmacy,CAPSULES,BLISTER,,6677,WWCVL (PFIZER),28,14
6012858,LYRICA,,LYRICA TABS 150MG X 28,Pharmacy,TABLETS,BLISTER,,6300,,28,14
1007994,MAALOX STICK,,MAALOX STICK   X 20,Pharmacy,,SACHET,,650,,20,1
6012609,MAC-ATTIX-HP3,,MAC-ATTIX-HP3 SOFTGEL  X 30,Pharmacy,SOFTGEL,BLISTER,,1600,,30,10
6011134,macnol,,MACNOL TABS 5MG/2.5MG X 30,Pharmacy,TABLETS,BLISTER,,1250,,30,10
1001424,MAGNAVIT,,MAGNAVIT CAPS  X 30,Pharmacy,CAPSULES,BLISTER,,485,,30,15
1002929,MALAGOLD,,MALAGOLD TABS 300MG X 100,Pharmacy,TABLETS,BLISTER,,2350,,100,10
1001852,MALAGON,,MALAGON TABS 525MG X 50,Pharmacy,TABLETS,FOIL STRIP,,4650,,50,1
1000917,MALAMOX,,MALAMOX TABS  X 50,Pharmacy,TABLETS,FOIL STRIP,,3415,,50,1
1001399,malareich,,MALAREICH CAPS  X 50,Pharmacy,CAPSULES,FOIL STRIP,,43270,,50,1
1000384,malareich,Sulfadoxine and Pyrimethamine,MALAREICH TABS  X 50,Pharmacy,TABLETS,FOIL STRIP,,2910,,50,1
6009281,malaria kit,,MALARIA KIT   X 25,Pharmacy,,SACHET,,4000,,25,1
1003570,MALOXINE,,MALOXINE TABS  X 50,Pharmacy,TABLETS,BLISTER,,5280,,50,1
6054587,marcgesic,Orphenadrine,MARCGESIC TABS 35MG+450MG X 100,Pharmacy,TABLETS,BLISTER,,2600,MARCSON HEALTHCARE LIMITED,100,10
6013303,MARCNOL,,MARCNOL TABS 10/5 X 30,Pharmacy,TABLETS,SACHET,,2100,,30,10
6010898,MARCNOL,,MARCNOL TABS 5/2.5 X 30,Pharmacy,TABLETS,BLISTER,,2250,,30,10
6013277,MARTINS LIVER SALT (ALL FLAVOUR),,MARTINS LIVER SALT (ALL FLAVOUR) POWDER  X 25,Pharmacy,POWDER,SACHET,,650,,25,1
6064663,MaX ATP RIBOCEINE FUEL,,MAX ATP RIBOCEINE FUEL POWDER  X 15,Pharmacy,POWDER,SACHET,,18500,MAX INTERNATIONAL,15,1
6009486,max omega(clarion),,MAX OMEGA(CLARION) CAPS  X 30,Pharmacy,CAPSULES,BLISTER,,1010,,30,10
